title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"5T35_1",1,Done,17.812,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_2",2,Done,25.954,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_3",3,Done,24.046,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_4",4,Done,24.875,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_5",5,Done,27.704,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_6",6,Done,26.687,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_7",7,Done,27.094,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_8",8,Done,34.094,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_9",9,Done,30.531,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_10",10,Done,32.531,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_11",11,Done,30.016,-11.8111,"5t35-grid",-11.8111,-5.24948,-0.16,-0,-1.83147,-76.021,-6.70184,0.243909,-0.00776191,-137.572,-82.7228,4.14083
"5T35_12",12,Done,24.031,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_13",13,Done,29.266,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_14",14,Done,26.906,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_15",15,Done,35.125,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_16",16,Done,10.438,-7.04437,"5t35-grid",-7.04437,-3.33919,-0.32,-0,-0.981297,-40.0567,-7.1542,0.765182,-0.0930958,-68.8171,-47.2109,4.38897
"5T35_17",17,Done,24.687,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_18",18,Done,28.625,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_19",19,Done,28.766,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_20",20,Done,26.093,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_21",21,Done,22.922,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_22",22,Done,23.875,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_23",23,Done,27.469,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_24",24,Done,35.531,-15.3582,"5t35-grid",-15.3587,-6.64179,-0.602488,-0,-1.75882,-88.1326,-14.6017,0.284546,-0.0432221,-189.15,-102.734,8.01892
"5T35_25",25,Done,25.844,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_26",26,Done,28.531,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_27",27,Done,25.547,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_28",28,Done,30.297,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_29",29,Done,35.343,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_30",30,Done,29.469,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_31",31,Done,33.922,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_32",32,Done,27.719,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_33",33,Done,24.922,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_34",34,Done,32.64,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_35",35,Done,33.735,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_36",36,Done,28.047,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_37",37,Done,30.875,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_38",38,Done,34.141,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_39",39,Done,36.734,-17.7489,"5t35-grid",-17.7493,-6.98883,-0.93627,-0,-2.38713,-95.7487,-19.3685,0.276888,-0.0212843,-226.98,-115.117,12.7408
"5T35_40",40,Done,33.953,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
